date,amount,category,description
24-07-2024,499.99,Income,salary
24-07-2024,128.75,Income,Side Gig
07-07-2024,185.65,Income,Salary
02-01-2024,943.48,Expense,Entertainment
09-01-2024,50.37,Income,Side Gig
14-01-2024,897.13,Expense,Shopping
15-01-2024,540.42,Expense,Transportation
21-01-2024,872.75,Income,Rental Income
21-01-2024,83.3,Expense,Entertainment
22-01-2024,527.51,Expense,Transportation
04-02-2024,515.64,Expense,Rent
10-02-2024,635.98,Income,Salary
13-02-2024,259.26,Expense,Utilities
18-02-2024,41.11,Expense,Groceries
19-02-2024,128.67,Income,Freelance Work
20-02-2024,758.0,Expense,Transportation
22-02-2024,432.84,Expense,Groceries
22-02-2024,675.41,Expense,Rent
23-02-2024,329.97,Expense,Rent
24-02-2024,86.21,Expense,Utilities
28-02-2024,640.05,Expense,Groceries
05-03-2024,836.95,Expense,Groceries
12-03-2024,731.72,Income,Rental Income
21-03-2024,229.89,Income,Rental Income
28-03-2024,337.59,Expense,Transportation
29-03-2024,543.95,Income,Salary
01-04-2024,862.12,Expense,Rent
09-04-2024,72.92,Expense,Utilities
12-04-2024,206.73,Income,Salary
12-04-2024,364.88,Income,Rental Income
15-04-2024,523.6,Expense,Shopping
16-04-2024,709.79,Income,Investment Returns
01-05-2024,124.71,Expense,Entertainment
08-05-2024,680.79,Expense,Shopping
10-05-2024,732.31,Expense,Utilities
10-05-2024,930.4,Income,Bonus
14-05-2024,637.07,Expense,Groceries
29-05-2024,641.18,Income,Freelance Work
31-05-2024,331.93,Expense,Utilities
05-06-2024,637.19,Expense,Dining Out
09-06-2024,773.26,Income,Bonus
10-06-2024,502.28,Income,Freelance Work
15-06-2024,194.7,Income,Investment Returns
18-06-2024,321.21,Expense,Dining Out
23-06-2024,416.28,Income,Rental Income
06-07-2024,513.48,Income,Side Gig
06-07-2024,374.11,Expense,Rent
07-07-2024,773.56,Expense,Shopping
08-07-2024,909.18,Expense,Shopping
08-07-2024,256.8,Expense,Transportation
09-07-2024,972.06,Income,Freelance Work
10-07-2024,763.18,Expense,Shopping
20-07-2024,307.87,Income,Freelance Work
24-07-2024,423.24,Expense,Shopping
26-07-2024,494.56,Expense,Shopping
31-07-2024,153.45,Income,Freelance Work
02-08-2024,864.47,Income,Rental Income
02-08-2024,60.96,Expense,Utilities
04-08-2024,245.26,Expense,Transportation
05-08-2024,962.82,Expense,Shopping
23-08-2024,35.16,Income,Side Gig
24-08-2024,985.79,Income,Freelance Work
29-08-2024,324.82,Expense,Transportation
31-08-2024,296.85,Expense,Dining Out
08-09-2024,730.93,Income,Side Gig
08-09-2024,285.86,Expense,Entertainment
09-09-2024,433.27,Income,Investment Returns
14-09-2024,477.49,Expense,Entertainment
16-09-2024,705.99,Expense,Entertainment
20-09-2024,16.88,Income,Salary
21-09-2024,118.95,Income,Bonus
26-09-2024,291.99,Income,Freelance Work
27-09-2024,507.65,Expense,Groceries
27-09-2024,817.31,Income,Investment Returns
27-09-2024,908.49,Expense,Entertainment
30-09-2024,893.63,Income,Side Gig
03-10-2024,565.66,Income,Salary
06-10-2024,764.0,Income,Salary
20-10-2024,716.11,Income,Side Gig
22-10-2024,247.17,Expense,Transportation
27-10-2024,99.39,Expense,Dining Out
30-10-2024,613.47,Expense,Groceries
02-11-2024,810.04,Income,Bonus
04-11-2024,888.34,Income,Bonus
05-11-2024,369.99,Expense,Shopping
09-11-2024,498.86,Expense,Dining Out
11-11-2024,809.37,Income,Side Gig
15-11-2024,169.61,Expense,Groceries
22-11-2024,194.65,Income,Rental Income
24-11-2024,805.64,Income,Bonus
26-11-2024,627.07,Income,Rental Income
03-12-2024,249.63,Income,Investment Returns
05-12-2024,819.83,Expense,Utilities
09-12-2024,128.4,Income,Salary
09-12-2024,594.98,Income,Investment Returns
10-12-2024,116.81,Expense,Utilities
10-12-2024,327.57,Expense,Entertainment
11-12-2024,235.66,Expense,Shopping
14-12-2024,15.47,Expense,Dining Out
16-12-2024,46.52,Income,Salary
25-12-2024,317.87,Income,Rental Income
29-12-2024,236.51,Income,Rental Income
